timestamp;user;state;row;line_content;error
2025-11-10 13:07:05;admin;screen;0;[START] Starting at row 14;
2025-11-10 13:07:05;admin;screen;0;[FRAME] <SOH>O<STX><ETX>079<CR>;
2025-11-10 13:07:08;admin;screen;0;[PUT ONLINE] None;
2025-11-10 13:07:08;admin;screen;0;[FRAME] <SOH>V<STX>015<ETX>236<CR>;
2025-11-10 13:07:12;admin;screen;0;V] var 01 <- 5 | None;
2025-11-10 13:07:12;admin;screen;0;[FRAME] <SOH>V<STX>02ID: 1Content aa<ETX>141<CR>;
2025-11-10 13:07:15;admin;screen;0;V] var 02 <- ID: 1Content aa | None;
2025-11-10 13:07:15;admin;screen;0;[FRAME] <SOH>V<STX>03verybigtest<ETX>113<CR>;
2025-11-10 13:07:16;admin;screen;0;[STOP] Converting to pause (saving resume point)…;
2025-11-10 13:07:16;admin;print paused;0;operator requested stop;
2025-11-10 13:07:18;admin;data partially transferred;14;"5;ID: 1Content aa;verybigtest;sample;2024-08-23 15:31:3;2024;Print job started;";"sent 3/8; paused"
2025-11-10 13:07:18;admin;screen;0;V] var 03 <- verybigtest | None;
2025-11-10 13:07:18;admin;screen;0;[DONE] Batch complete;
2025-11-10 13:33:55;admin;login;0;user logged in;
2025-11-10 13:33:55;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 13:33:55;admin;screen;0;"[CSV] Loaded 111 rows (delimiter=';')";
2025-11-10 13:33:55;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 13:33:55;admin;screen;0;[RESUME] Highlight row 14, next to send: row 14;
2025-11-10 14:21:23;admin;login;0;user logged in;
2025-11-10 14:21:23;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 14:21:23;admin;screen;0;"[CSV] Loaded 111 rows (delimiter=';')";
2025-11-10 14:21:23;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 14:21:23;admin;screen;0;[RESUME] Highlight row 14, next to send: row 14;
2025-11-10 14:22:38;admin;login;0;user logged in;
2025-11-10 14:22:38;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 14:22:38;admin;screen;0;"[CSV] Loaded 111 rows (delimiter=';')";
2025-11-10 14:22:38;admin;data stream loaded;0;CSV loaded: C:/Users/Logisztika/Documents/bigtest.log.csv;
2025-11-10 14:22:38;admin;screen;0;[RESUME] Highlight row 14, next to send: row 14;
2025-11-10 14:23:17;admin;serial connect;0;"port=COM1; baud=9600; parity=N; stopbits=0";
2025-11-10 14:23:17;admin;serial connected;0;COM1@9600 parity=N stop=0;
2025-11-10 14:23:17;admin;batch start;0;pattern=;
2025-11-10 14:23:17;admin;print started;0;rows=111 pattern=;
2025-11-10 14:23:17;admin;screen;0;[START] Starting at row 14;
2025-11-10 14:23:17;admin;screen;0;[FRAME] <SOH>O<STX><ETX>079<CR>;
2025-11-10 14:23:21;admin;screen;0;[PUT ONLINE] None;
2025-11-10 14:23:21;admin;screen;0;[FRAME] <SOH>V<STX>015<ETX>236<CR>;
2025-11-10 14:23:23;admin;screen;0;[V] var 01 <- 5 | None;
2025-11-10 14:23:23;admin;screen;0;[FRAME] <SOH>V<STX>02ID: 1Content aa<ETX>141<CR>;
2025-11-10 14:23:26;admin;screen;0;[V] var 02 <- ID: 1Content aa | None;
2025-11-10 14:23:26;admin;screen;0;[FRAME] <SOH>V<STX>03verybigtest<ETX>113<CR>;
2025-11-10 14:23:29;admin;screen;0;[V] var 03 <- verybigtest | None;
2025-11-10 14:23:29;admin;screen;0;[FRAME] <SOH>V<STX>04sample<ETX>060<CR>;
2025-11-10 14:23:33;admin;screen;0;[V] var 04 <- sample | None;
2025-11-10 14:23:33;admin;screen;0;[FRAME] <SOH>V<STX>052024-08-23 15:31:3<ETX>059<CR>;
2025-11-10 14:23:36;admin;screen;0;[V] var 05 <- 2024-08-23 15:31:3 | None;
